canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,tcm,n_active,MTS
CC(CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,Inokosterone,Achyranthes bidentata|Achyranthes fauriei|Achyranthes japonica,Terpenoids,7.24,7.34,4.44,7.59,5.07,5.58,5.51,6.68,5.22,5.85,7.39,7.59,牛膝,4,28.85
C[C@@H](CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,Inokosterone,Achyranthes Bidentata|Achyranthes bidentata|Achyranthes fauriei|Achyranthes japonica|Lloydia serotina|Morus Alba|Morus alba|Palythoa australiae|Polypodium virginianum|Polypodium vulgare|Rhaponticum carthamoides|Woodwardia orientalis|Zoanthus|Zoanthus sp.,Terpenoids,7.24,7.34,4.44,7.59,5.07,5.58,5.51,6.68,5.22,5.85,7.39,7.59,牛膝,4,28.85
CC(CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)C3CC[C@]12C,Callinecdysone A,Achyranthes bidentata|Achyranthes fauriei|Cyathula officinalis|Euphorbia esula|Morus alba|Radix achyranthis bidentatae|Woodwardia orientalis,Terpenoids,7.24,7.34,4.44,7.59,5.07,5.58,5.51,6.68,5.22,5.85,7.39,7.59,川牛膝,4,28.85
CC(C)=CCC1=C2OC(C)(C)C=CC2=C(O)C2=C1OC(C1=CC=C(O)C(O)=C1)=CC2=O,,Acanthophyllum sordidum|Aconitum habaense|Aconitum tanguticum|Aphelandra chamissoniana|Bougainvillea glabra|Bryopsis pennata|Ficus beecheyana|Ficus erecta var. beecheyana|Flammulina velutipes|Lecidea carpathica|Lyophyllum connatum|Panax spinosus|Polyalthia stenopetala|Pseudotsuga japonica|Pyropia tenera|Roemeria refracta|Strophanthus hispidus|Strychnos henningsii|Vernonia scorpioides,Shikimates and Phenylpropanoids,6.76,7.71,4.92,6.15,5.51,7.09,5.78,5.84,5.3,7.29,7.36,7.71,人参/三七,4,28.85
C[C@H](CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,25S-Inokosterone,Achyranthes aspera|Leuzea carthamoides|Polypodium virginianum|Polypodium vulgare|Rhaponticum carthamoides|Vitex megapotamica,Terpenoids,7.24,7.34,4.44,7.59,5.07,5.58,5.51,6.68,5.22,5.85,7.39,7.59,牛膝,4,28.85
CC1=C2OC(C)(C)C=CC2=C2OC(C3=CC=C(O)C(O)=C3)=CC(=O)C2=C1O,Desmodol,Cassia pumila|Desmodium Caudatum|Desmodium caudatum|Ohwia caudata,Shikimates and Phenylpropanoids,6.79,7.68,4.89,6.33,5.38,7.12,5.77,5.56,5.04,7.25,7.35,7.68,决明子,4,28.84
CC1=COC2=C1[C@](C)(O)C1=C(C=CC(O)=C1C)C2=O,"(4R)-4,6-dihydroxy-3,4,5-trimethylbenzo[f][1]benzofuran-9-one",Parasenecio hastatus,Terpenoids,6.51,7.66,5.52,7.43,5.21,5.51,5.88,5.23,5.11,7.23,7.44,7.66,千里光,4,28.83
COC1=CC(C2=CC(=O)C3=C(O)C4=C(C=C3O2)OC(C)(C)C=C4)=CC=C1O,"5-Hydroxy-8-(4-hydroxy-3-methoxyphenyl)-2,2-dimethyl-2H,6H-benzo[1,2-b:5,4-b']dipyran-6-one",Agrobacterium tumefaciens|Helichrysum arenarium subsp. aucheri|Hypericum japonicum|Lonchocarpus guatemalensis|Lonchocarpus xuul|Lonchocarpus yucatanensis|Ventilago leiocarpa,Shikimates and Phenylpropanoids,6.77,7.56,4.82,6.28,5.29,7.32,5.78,5.57,5.07,7.08,7.32,7.56,地耳草/田基黄,4,28.73
COC1=C(C2=CC=C(O)C(O)=C2)OC2=CC3=C(C=CC(C)(C)O3)C(O)=C2C1=O,Sarothranol,Hypericum japonicum,Shikimates and Phenylpropanoids,6.73,7.58,5.18,6.24,5.31,7.3,5.78,5.58,5.08,7.11,7.33,7.58,地耳草/田基黄,4,28.72
CC(C)=CCC[C@@]1(C)C=CC2=C([C@@H]3CC(=O)C4=C(C=C(O)C(CC=C(C)C)=C4O)O3)C=CC(O)=C2O1,Macaflavanone C,Bacillus thuringiensis|Calodendrum capense|Croton caudatus|Elaeocarpus fuscoides|Jacobaea adonidifolia|Lechevalieria aerocolonigenes|Lepraria xanthina|Macaranga tanarius|Meconopsis horridula|Oxera splendida|Penicillium crustaceum|Pseudophryne coriacea|Stevia purpurea|Streptomyces kanamyceticus|Swartzia madagascariensis|Vitex pinnata|Wolfiporia cocos,Shikimates and Phenylpropanoids,6.72,7.67,5.56,6.18,6.89,5.33,5.61,5.85,5.17,7.42,7.33,7.67,茯苓,4,28.7
CC(C)=CCC[C@]1(C)C=CC2=C([C@@H]3CC(=O)C4=C(C=C(O)C(CC=C(C)C)=C4O)O3)C=CC(O)=C2O1,,Bacillus thuringiensis|Calodendrum capense|Croton caudatus|Elaeocarpus fuscoides|Jacobaea adonidifolia|Lechevalieria aerocolonigenes|Lepraria xanthina|Macaranga tanarius|Meconopsis horridula|Oxera splendida|Penicillium crustaceum|Pseudophryne coriacea|Stevia purpurea|Streptomyces kanamyceticus|Swartzia madagascariensis|Vitex pinnata|Wolfiporia cocos,Shikimates and Phenylpropanoids,6.72,7.67,5.56,6.18,6.89,5.33,5.61,5.85,5.17,7.42,7.33,7.67,茯苓,4,28.7
COC1=CC(CC[C@H](O)C[C@H](O)CCC2=CC(OC)=C(O)C(OC)=C2)=CC=C1O,"(3R,5S)-1-(4-hydroxy-3,5-dimethoxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)heptane-3,5-diol",Curcuma comosa|Zingiber officinale,Shikimates and Phenylpropanoids,5.81,7.05,5.07,7.21,5.21,6.52,5.94,5.29,5.25,7.89,7.38,7.89,莪术/姜黄,4,28.67
COC1=CC(CC[C@H](O)C[C@@H](O)CCC2=CC=C(O)C(OC)=C2)=CC=C1O,"(3S,5S)-1,7-bis(4-hydroxy-3-methoxyphenyl)heptane-3,5-diol",Curcuma xanthorrhiza|Zingiber officinale|Zingiber ottensii|zingiber ottensii,Shikimates and Phenylpropanoids,5.82,7.07,5.07,7.21,5.21,6.55,5.97,5.25,5.26,7.83,7.37,7.83,莪术/姜黄,4,28.66
C=CCC1=CC(C2=CC=C(O)C(CC=C)=C2)=C(O)C([C@@H]2C=C(C)CC[C@H]2C(C)C)=C1,"2-(4-hydroxy-3-prop-2-enylphenyl)-6-[(1S,6S)-3-methyl-6-propan-2-ylcyclohex-2-en-1-yl]-4-prop-2-enylphenol",Magnolia officinalis,Shikimates and Phenylpropanoids,6.12,7.17,5.5,6.53,5.7,7.04,5.91,5.52,5.22,7.91,7.37,7.91,厚朴,4,28.65
C=CCC1=CC(C2=CC(C[C@@H](O)CO)=CC=C2O)=CC=C1O,,Magnolia obovata|Magnolia officinalis,Shikimates and Phenylpropanoids,6.24,7.29,5.42,6.68,5.48,7.09,6.07,5.68,5.39,7.59,7.32,7.59,厚朴,4,28.65
CC(C)=CCC[C@@]1(C)CCC2=C([C@@H]3CC(=O)C4=C(C=C(O)C(CC=C(C)C)=C4O)O3)C=CC(O)=C2O1,Macaflavanone F,Bacillus thuringiensis|Calodendrum capense|Croton caudatus|Elaeocarpus fuscoides|Jacobaea adonidifolia|Lechevalieria aerocolonigenes|Lepraria xanthina|Macaranga tanarius|Meconopsis horridula|Oxera splendida|Penicillium crustaceum|Pseudophryne coriacea|Stevia purpurea|Streptomyces kanamyceticus|Swartzia madagascariensis|Vitex pinnata|Wolfiporia cocos,Shikimates and Phenylpropanoids,6.77,7.6,5.54,5.71,6.8,5.3,5.68,5.77,5.16,7.46,7.29,7.6,茯苓,4,28.63
CC(C)=CCC[C@]1(C)CCC2=C([C@@H]3CC(=O)C4=C(C=C(O)C(CC=C(C)C)=C4O)O3)C=CC(O)=C2O1,Macaflavanone G,Bacillus thuringiensis|Calodendrum capense|Croton caudatus|Elaeocarpus fuscoides|Jacobaea adonidifolia|Lechevalieria aerocolonigenes|Lepraria xanthina|Macaranga tanarius|Meconopsis horridula|Oxera splendida|Penicillium crustaceum|Pseudophryne coriacea|Stevia purpurea|Streptomyces kanamyceticus|Swartzia madagascariensis|Vitex pinnata|Wolfiporia cocos,Shikimates and Phenylpropanoids,6.77,7.6,5.54,5.71,6.8,5.3,5.68,5.77,5.16,7.46,7.29,7.6,茯苓,4,28.63
C=CCC1=C[C@](OC)([C@H](C)CC2=CC=C(O)C(OC)=C2)C(OC)=CC1=O,,Aniba lancifolia|Clitocybe inversa|Delphinus delphis|Hypericum calycinum|Kalanchoe petitiana|Tripora divaricata,Shikimates and Phenylpropanoids,6.74,7.61,5.35,6.93,5.24,6.13,5.73,5.59,5.33,7.33,7.29,7.61,地耳草/田基黄,4,28.61
C=CCC1=C[C@@](OC)([C@H](C)CC2=CC=C(O)C(OC)=C2)C(OC)=CC1=O,,Aniba lancifolia|Clitocybe inversa|Delphinus delphis|Hypericum calycinum|Kalanchoe petitiana|Tripora divaricata,Shikimates and Phenylpropanoids,6.74,7.61,5.35,6.93,5.24,6.13,5.73,5.59,5.33,7.33,7.29,7.61,地耳草/田基黄,4,28.61
CC1(C)C=CC2=C(C=C3OC(C4=CC=C(O)C(O)=C4)=CC(=O)C3=C2O)O1,"8-(3,4-dihydroxyphenyl)-5-hydroxy-2,2-dimethylpyrano[3,2-g]chromen-6-one",Hypericum japonicum,Shikimates and Phenylpropanoids,6.77,7.58,4.89,6.14,5.3,7.05,5.76,5.55,5.09,7.2,7.28,7.58,地耳草/田基黄,4,28.6
COC1=C(O[C@@H]2O[C@H](COC(=O)CC(C)C)[C@@H](O)[C@H](O)[C@H]2O)C=C2OC(C3=CC=C(O)C(O)=C3)=C(O)C(=O)C2=C1O,"[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-6-methoxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl 3-methylbutanoate",Inula britannica,Shikimates and Phenylpropanoids,6.57,7.57,5.24,6.35,5.26,7.32,5.78,5.62,5.15,7.12,7.34,7.57,旋覆花/土木香,4,28.58
COC1=CC(CC[C@H](O)C[C@H](O)CCC2=CC=C(O)C=C2)=CC=C1O,,Curcuma kwangsiensis,Shikimates and Phenylpropanoids,5.83,7.16,4.98,7.24,5.22,6.58,5.98,5.21,5.28,7.6,7.33,7.6,莪术/姜黄,4,28.58
COC1=CC(CC[C@@H](O)C[C@@H](O)CCC2=CC=C(O)C=C2)=CC=C1O,"(3R,5S)-1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)heptane-3,5-diol",Curcuma kwangsiensis,Shikimates and Phenylpropanoids,5.83,7.16,4.98,7.24,5.22,6.58,5.98,5.21,5.28,7.6,7.33,7.6,莪术/姜黄,4,28.58
COC1=C(O[C@@H]2O[C@H](COC(=O)C(C)C)[C@@H](O)[C@H](O)[C@H]2O)C=C2OC(C3=CC=C(O)C(O)=C3)=C(O)C(=O)C2=C1O,"[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-6-methoxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl 2-methylpropanoate",Buphthalmum salicifolium|Cystoseira fimbriata|Fusarium sambucinum|Inula britannica,Shikimates and Phenylpropanoids,6.54,7.6,5.25,6.31,4.97,7.32,5.76,5.74,5.15,7.11,7.34,7.6,旋覆花/土木香,4,28.57
COC1=CC(CC[C@@H](O)C[C@H](O)CCC2=CC=C(O)C(O)=C2)=CC=C1O,"4-[(3R,5R)-3,5-dihydroxy-7-(4-hydroxy-3-methoxyphenyl)heptyl]benzene-1,2-diol",Curcuma kwangsiensis|Dioscorea nipponica|Tacca chantrieri,Shikimates and Phenylpropanoids,5.86,7.07,5.06,7.1,5.21,6.55,5.95,5.27,5.18,7.84,7.34,7.84,莪术/姜黄,4,28.56
O=C(/C=C/C1=CC=C(OC2=CC3=CC(O)=C(O)C=C3OC2=O)C(O)=C1)O[C@@H](CC1=CC=C(O)C(O)=C1)C(=O)O,,Salvia officinalis,Shikimates and Phenylpropanoids,6.73,7.74,5.19,6.7,5.35,6.31,5.86,6.07,5.26,7.38,7.28,7.74,丹参,4,28.55
O=C(/C=C/C1=CC=C(OC2=CC3=CC(O)=C(O)C=C3OC2=O)C(O)=C1)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,,Salvia officinalis,Shikimates and Phenylpropanoids,6.73,7.74,5.19,6.7,5.35,6.31,5.86,6.07,5.26,7.38,7.28,7.74,丹参,4,28.55
O=C(/C=C/C1=CC=C(OC2=CC3=CC(O)=C(O)C=C3OC2=O)C(O)=C1)OC(CC1=CC=C(O)C(O)=C1)C(=O)O,,Salvia officinalis,Shikimates and Phenylpropanoids,6.73,7.74,5.19,6.7,5.35,6.31,5.86,6.07,5.26,7.38,7.28,7.74,丹参,4,28.55
CC=C1/N=C(\O)[C@H]([C@H](C)O)/N=C(\O)C2=CSC(=N2)C2=CC(O)=C(C3=NC(C(=O)N[C@@H](C)C(N)=O)=CS3)N=C2C2=CSC(=N2)[C@H]2CSC(=O)C3=C(C)C4=C(C=CC=C4COC(=O)[C@@H](O)C[C@H](/N=C(\O)C4=CSC1=N4)C1=NC(=CS1)/C(O)=N\2)N3,"~{N}-[(1~{S})-2-amino-1-methyl-2-oxo-ethyl]-2-[(1~{R},16~{Z},18~{S},19~{Z},26~{Z},28~{S},30~{S},45~{E})-21-ethylidene-9,16,19,26,30,46-hexahydroxy-18-[(1~{S})-1-hydroxyethyl]-40-methyl-31,42-dioxo-32-oxa-3,13,23,43,49-pentathia-7,17,20,27,45,51,52,53,54,55-decazanonacyclo[26.16.6.1^{2,5}.1^{12,15}.1^{22,25}.1^{38,41}.1^{47,50}.0^{6,11}.0^{34,39}]pentapentaconta-2(55),4,6,8,10,12(54),14,16,19,22(53),24,26,34,36,38,40,45,47,50-nonadecaen-8-yl]thiazole-4-carboxamide",Aconitum umbrosum|Allium ampeloprasum|Artemisia iwayomogi|Bolboschoenus maritimus|Conyza pallidiflora|Diospyros chloroxylon|Drimia altissima|Evasterias retifera|Garcinia neglecta|Helenium amarum|Lemaireocereus stellatus|Ligularia lankongensis|Lithospermum carolinense|Lonicera nitida|Maytenus disticha|Myxococcus xanthus|Narcissus pseudonarcissus subsp. radinganorum|Nodulisporium hinnuleum|Phebalium rotundifolium|Pulsatilla vulgaris subsp. grandis|Scutellaria viscidula|Selinum tenuifolium|Senecio retrorsus|Sideritis glacialis|Streptomyces antibioticus|Taxus wallichiana|Uperoleia rugosa|Vernonia arkansana|Xanthorrhoea reflexa,Amino acids and Peptides,5.75,7.51,5.72,5.97,6.07,7.25,5.71,6.53,4.99,7.23,7.33,7.51,黄芩,4,28.52
O=C1C[C@@H](C2=CC=CC=C2)OC2=C(CC3=CC=CC=C3O)C(O)=C(CC3=CC(CC4=CC=CC=C4O)=CC=C3O)C(O)=C12,,Crotalaria pallida|Evolvulus nummularius|Fontinalis antipyretica|Helminthosporium avenae|Lactarius subumbonatus|Menispermum dahuricum|Pleurocybella porrigens|Tripterygium forrestii|Uvaria chamae|Uvaria doeringii|Uvaria lucida,Shikimates and Phenylpropanoids,6.37,7.66,5.43,6.72,6.67,5.32,5.87,6.06,5.12,7.47,7.28,7.66,北豆根,4,28.52
O=C1C[C@@H](C2=CC=CC=C2)OC2=C(CC3=CC(CC4=CC=CC=C4O)=CC=C3O)C(O)=C(CC3=CC=CC=C3O)C(O)=C12,Isouvarinol,Crotalaria pallida|Evolvulus nummularius|Fontinalis antipyretica|Helminthosporium avenae|Lactarius subumbonatus|Menispermum dahuricum|Pleurocybella porrigens|Tripterygium forrestii|Uvaria lucida|Uvaria lucida ssp. lucida|Xylopia africana,Shikimates and Phenylpropanoids,6.37,7.66,5.43,6.72,6.67,5.32,5.87,6.06,5.12,7.47,7.28,7.66,北豆根,4,28.52
CC(C)=CCCC(C)=CCC1=C([C@@H]2CC(=O)C3=C(C=C4OC(C)(C)C=CC4=C3O)O2)C=CC(O)=C1O,,Bacillus thuringiensis|Calodendrum capense|Croton caudatus|Elaeocarpus fuscoides|Jacobaea adonidifolia|Lechevalieria aerocolonigenes|Lepraria xanthina|Macaranga tanarius|Meconopsis horridula|Oxera splendida|Penicillium crustaceum|Pseudophryne coriacea|Stevia purpurea|Streptomyces kanamyceticus|Swartzia madagascariensis|Vitex pinnata|Wolfiporia cocos,Shikimates and Phenylpropanoids,6.67,7.64,5.4,5.92,6.77,5.19,5.61,5.71,5.17,7.43,7.28,7.64,茯苓,4,28.51
CC[C@@H](C)C(=O)OC[C@H]1O[C@@H](OC2=CC3=C(C(O)=C2OC)C(=O)C(O)=C(C2=CC=C(O)C(O)=C2)O3)[C@H](O)[C@@H](O)[C@@H]1O,,Inula britannica|Pentanema britannicum,Shikimates and Phenylpropanoids,6.53,7.6,5.25,6.24,5.25,7.28,5.79,5.68,5.15,7.09,7.32,7.6,旋覆花/土木香,4,28.5
CC(C)=CCC1=CC([C@@H]2CC(=O)C3=CC=C4OC(C)(C)C=CC4=C3O2)=CC=C1O,Shinflavanone,Glycyrrhiza glabra|Glycyrrhiza inflata|Glycyrrhiza uralensis|liquorice,Shikimates and Phenylpropanoids,6.72,7.57,5.48,6.12,6.83,5.28,5.53,6.01,5.13,7.38,7.26,7.57,甘草,4,28.5
CC[C@H](C)C(=O)OC[C@H]1O[C@@H](OC2=CC3=C(C(O)=C2OC)C(=O)C(O)=C(C2=CC=C(O)C(O)=C2)O3)[C@H](O)[C@@H](O)[C@@H]1O,,Inula britannica,Shikimates and Phenylpropanoids,6.53,7.6,5.25,6.24,5.25,7.28,5.79,5.68,5.15,7.09,7.32,7.6,旋覆花/土木香,4,28.5
CC[C@@H](C)C(=O)OC[C@H]1O[C@@H](OC2=CC3=C(C(O)=C2OC)C(=O)C(O)=C(C2=CC=C(O)C(O)=C2)O3)[C@@H](O)[C@@H](O)[C@@H]1O,,Inula britannica,Shikimates and Phenylpropanoids,6.53,7.6,5.25,6.24,5.25,7.28,5.79,5.68,5.15,7.09,7.32,7.6,旋覆花/土木香,4,28.5
CC(C)=CCCC(C)=CCC1=C([C@@H]2CC(=O)C3=C(C=C4OC(C)(C)CCC4=C3O)O2)C=CC(O)=C1O,,Bacillus thuringiensis|Calodendrum capense|Croton caudatus|Elaeocarpus fuscoides|Jacobaea adonidifolia|Lechevalieria aerocolonigenes|Lepraria xanthina|Macaranga tanarius|Meconopsis horridula|Oxera splendida|Penicillium crustaceum|Pseudophryne coriacea|Stevia purpurea|Streptomyces kanamyceticus|Swartzia madagascariensis|Vitex pinnata|Wolfiporia cocos,Shikimates and Phenylpropanoids,6.68,7.62,5.49,5.88,6.76,5.17,5.66,5.74,5.18,7.44,7.27,7.62,茯苓,4,28.5
CCC(C)C(=O)OC[C@H]1O[C@@H](OC2=CC3=C(C(O)=C2OC)C(=O)C(O)=C(C2=CC=C(O)C(O)=C2)O3)[C@H](O)[C@@H](O)[C@@H]1O,"[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-6-methoxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl 2-methylbutanoate",Inula britannica,Shikimates and Phenylpropanoids,6.53,7.6,5.25,6.24,5.25,7.28,5.79,5.68,5.15,7.09,7.32,7.6,旋覆花/土木香,4,28.5
CC(C)(O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CC1=C(O)C=CC2=C1OC(=O)C=C2,,Ligularia subspicata|Quercus acuta|Rubus thibetanus,Shikimates and Phenylpropanoids,6.83,7.87,5.3,6.53,5.2,5.72,5.62,5.65,5.15,7.25,7.32,7.87,橐吾,4,28.48
CC(C)=CCC1=C(O)C=CC2=C1OC[C@@H](C1=CC=C3OC(C)(C)C=CC3=C1O)C2,"6-[(3R)-7-hydroxy-8-(3-methylbut-2-enyl)-3,4-dihydro-2H-chromen-3-yl]-2,2-dimethylchromen-5-ol",Glycyrrhiza glabra|liquorice,Shikimates and Phenylpropanoids,6.37,7.1,5.39,6.11,6.89,6.71,5.65,5.51,5.18,7.77,7.25,7.77,甘草,4,28.47
CC(C)=CCC1=C(O)C=CC2=C1OC[C@H](C1=CC=C3OC(C)(C)C=CC3=C1O)C2,,Glycyrrhiza glabra|liquorice,Shikimates and Phenylpropanoids,6.37,7.1,5.39,6.11,6.89,6.71,5.65,5.51,5.18,7.77,7.25,7.77,甘草,4,28.47
O=C1C=C(OC2=CC=C(O)C(O)=C2)OC2=CC(O)=CC(O)=C12,"2-(3,4-dihydroxyphenoxy)-5,7-dihydroxychromen-4-one",Artemisia,Shikimates and Phenylpropanoids,6.71,7.68,4.85,5.82,5.22,6.1,6.74,6.18,5.08,7.34,7.25,7.68,茵陈/青蒿,4,28.47
O=C(/C=C/C1=CC=C(O)C(O)=C1)O[C@H]1[C@@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2[C@@]2(CO)O[C@@H]12,verminoside,Eremophila ionantha|Kigelia Africana|Picrorhiza scrophulariiflora|Stereospermum Cylindricum|Stereospermum acuminatissimum|Stereospermum colais|Stereospermum cylindricum|Stereospermum tetragonum|Veronica alpina|Veronica bellidioides|Veronica cymbalaria|Veronica filiformis|Veronica kellereri|Veronica lavaudiana|Veronica longifolia|Veronica officinalis|Veronica orientalis|Veronica persica|Veronica pulvinaris|Veronica thomsonii|blue water-speedwell|ivy-leaved speedwell,Terpenoids,6.68,7.65,5.44,6.07,6.69,5.92,5.68,5.42,5.21,7.44,7.26,7.65,胡黄连,4,28.46
O=C(/C=C\C1=CC=C(O)C(O)=C1)O[C@H]1[C@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H]2[C@@]2(CO)O[C@@H]12,,Kigelia africana|Kigelia pinnata DC.|Picrorhiza scrophulariiflora|Stereospermum cylindricum|Veronica anagallis-aquatica|Veronica bellidioides|Veronica cymbalaria|Veronica ligustrifolia A.Cunn|Veronica officinalis|Veronica persica|Veronica salicifolia G. Forst.|Veronica x andersonii Lindl. et Pax|blue water-speedwell,Terpenoids,6.68,7.65,5.44,6.07,6.69,5.92,5.68,5.42,5.21,7.44,7.26,7.65,胡黄连,4,28.46
O=C(/C=C/C1=CC=C(O)C(O)=C1)O[C@H]1[C@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H]2[C@@]2(CO)O[C@@H]12,,Kigelia africana|Neopicrorhiza scrophulariiflora|Picrorhiza scrophulariiflora|Stereospermum cylindricum|Veronica bellidioides|Veronica cymbalaria|Veronica officinalis|blue water-speedwell,Terpenoids,6.68,7.65,5.44,6.07,6.69,5.92,5.68,5.42,5.21,7.44,7.26,7.65,胡黄连,4,28.46
CC(C)=CCC1=C(O)C=CC([C@@H]2COC3=C(C=CC4=C3C=CC(C)(C)O4)C2)=C1O,Hispaglabridin A,Glycyrrhiza glabra|Glycyrrhiza glabra var. typica|Glycyrrhiza inflata|Glycyrrhiza uralensis|Lentinus tigrinus|Mitracarpus scaber|liquorice,Shikimates and Phenylpropanoids,6.36,7.09,5.4,6.13,6.89,6.71,5.66,5.51,5.18,7.76,7.25,7.76,甘草,4,28.45
O=C(O)C(CC1=CC=C(O)C(O)=C1)OC(O)/C=C/C1=CC(O)C(O)C=C1,,Clerodendranthus spicatus|Herba dracocephali tangutici|Lycopus lucidus|Mentha canadensis|Mentha haplocalyx|Perilla frutescens var. arguta|Picria felterrae|Rosmarinus officinalis|Salvia przewalskii|Schizonepeta tenuifolia,Shikimates and Phenylpropanoids,6.34,7.12,5.39,6.71,6.66,5.99,5.83,5.89,5.17,7.94,7.26,7.94,丹参,4,28.43
CC1(C)C=CC2=C(C=CC3=C2OC2=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(O)=CC=C2C3=O)O1,"10-hydroxy-3,3-dimethyl-11-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypyrano[2,3-c]xanthen-7-one",Hypericum japonicum,Shikimates and Phenylpropanoids,6.77,7.69,5.23,6.16,6.65,5.57,5.55,5.54,5.13,7.32,7.26,7.69,地耳草/田基黄,4,28.43
CC(C)=CCC1=CC([C@@H]2CC(=O)C3=CC=C(O)C(CC=C(C)C)=C3O2)=CC2=C1OC(C)(C)CC2,,Sophora tonkinensis,Shikimates and Phenylpropanoids,6.69,7.56,5.56,5.63,6.78,5.29,5.72,6.17,5.16,7.39,7.24,7.56,苦参/槐,4,28.42
CC(C)=C/C=C/[C@]1(C)CCC2=C([C@@H]3CC(=O)C4=C(C=C(O)C(CC=C(C)C)=C4O)O3)C=CC(O)=C2O1,Macaflavanone E,Bacillus thuringiensis|Calodendrum capense|Croton caudatus|Elaeocarpus fuscoides|Jacobaea adonidifolia|Lechevalieria aerocolonigenes|Lepraria xanthina|Macaranga tanarius|Meconopsis horridula|Oxera splendida|Penicillium crustaceum|Pseudophryne coriacea|Stevia purpurea|Streptomyces kanamyceticus|Swartzia madagascariensis|Vitex pinnata|Wolfiporia cocos,Shikimates and Phenylpropanoids,6.75,7.6,5.56,5.72,6.67,5.31,5.74,5.76,5.16,7.39,7.25,7.6,茯苓,4,28.41
CC(C)=C/C=C/[C@@]1(C)CCC2=C([C@@H]3CC(=O)C4=C(C=C(O)C(CC=C(C)C)=C4O)O3)C=CC(O)=C2O1,Macaflavanone D,Bacillus thuringiensis|Calodendrum capense|Croton caudatus|Elaeocarpus fuscoides|Jacobaea adonidifolia|Lechevalieria aerocolonigenes|Lepraria xanthina|Macaranga tanarius|Meconopsis horridula|Oxera splendida|Penicillium crustaceum|Pseudophryne coriacea|Stevia purpurea|Streptomyces kanamyceticus|Swartzia madagascariensis|Vitex pinnata|Wolfiporia cocos,Shikimates and Phenylpropanoids,6.75,7.6,5.56,5.72,6.67,5.31,5.74,5.76,5.16,7.39,7.25,7.6,茯苓,4,28.41
O=C(O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O)C1=CC2=CC=C(O)C3=C2C(=C1C(=O)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O)C1=CC=C(O)C(O)=C1O3,,Salvia yunnanensis,Shikimates and Phenylpropanoids,5.98,7.06,5.39,7.02,5.37,6.65,6.0,5.68,5.27,7.67,7.25,7.67,丹参,4,28.4
