identifier,canonical_smiles,name,chemical_super_class,np_classifier_pathway,np_classifier_superclass,np_classifier_class,organisms,dois,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,mw,logp,hbd,hba,obscure,composite
CNP0141209.0,O=C1C=C(C2=CC=C(O)C(OS(=O)(=O)O)=C2)OC2=CC(OS(=O)(=O)O)=CC(O)=C12,"Luteolin 7,3'-disulfate",Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Zostera marina,,Zostera marina,Shikimates and Phenylpropanoids,6.45,7.66,5.37,5.84,5.29,6.36,6.16,5.41,5.15,7.12,7.08,7.66,446.3670000000002,1.2344,4,10,2.0,9.2
CNP0331073.1,OC1=CC=C2C=C(C(O)C3=CO[C@H](O)[C@H](O)[C@H]3O)OC2=C1O,Deuteromycol A,Organoheterocyclic compounds,Shikimates and Phenylpropanoids,,,Unknown-fungus sp.,10.1007/s12272-010-1103-7,Unknown-fungus sp.,Shikimates and Phenylpropanoids,6.09,6.9,5.49,6.58,5.26,5.54,5.79,5.22,5.13,7.74,7.07,7.74,310.2580000000001,-0.16830000000000017,6,8,2.0,9.19
CNP0523302.0,O=C1N=C(O)C(C2=CC=C(O)C([N+](=O)[O-])=C2)=C1C1=CNC2=CC=CC=C12,Aqabamycin G,Benzenoids,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,Marine Bacteria (Unclassified),10.1021/acs.jnatprod.6b00235,Marine Bacteria (Unclassified),Alkaloids,6.44,7.51,5.48,5.59,5.56,6.07,6.2,6.12,5.17,7.27,7.07,7.51,349.302,3.1892000000000005,3,4,2.0,9.19
CNP0530688.0,O=C(O)CC1=CC=C(O)C([N+](=O)[O-])=C1,4-Hydroxy-3-nitrophenylacetic acid,Benzenoids,Shikimates and Phenylpropanoids,Phenylethanoids (C6-C2),Phenylethanoids,Bryoria implexa|Glycosmis trichanthera|Jeotgalibacillus marinus|Magnaporthe oryzae|Polyporus tuberaster|Protea neriifolia|Pyricularia oryzae|Senecio chrysocoma|Sinapis alba|Viola philippica,10.1007/BF00630083|10.1021/NP50126A026|10.1271/BBB.62.998,Bryoria implexa|Glycosmis trichanthera|Jeotgalibacillus marinus|Magnaporthe oryzae|Polyporus tuberaster|Protea neriifolia|Pyricularia oryzae|Senecio chrysocoma|Sinapis alba|Viola philippica,Shikimates and Phenylpropanoids,6.23,7.01,5.25,5.8,5.36,5.97,6.43,5.73,5.27,7.76,7.07,7.76,197.146,0.9275,2,4,2.0,9.19
CNP0313316.1,CC(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](OC2=CC(C3=CC(=O)C4=C(O)C=C(O)C=C4O3)=CC=C2O)O[C@H]1C(=O)O,,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Rosmarinus officinalis,10.1016/S0031-9422(00)90434-5,Rosmarinus officinalis,Shikimates and Phenylpropanoids,6.51,7.61,5.0,6.0,5.34,6.4,5.94,5.3,5.08,7.09,7.07,7.61,504.4000000000002,0.41859999999999953,6,12,2.0,9.19
CNP0429558.1,C[C@H]1CCC(=O)OC[C@@H](OC(=O)/C=C/C2=CC=C(O)C(O)=C2)C1,,Phenylpropanoids and polyketides,,,,Avicennia marina,10.1039/c6np00124f,Avicennia marina,,6.44,7.23,5.39,5.4,5.4,5.71,5.82,5.17,5.07,7.54,7.07,7.54,320.34100000000007,2.386000000000001,2,6,2.0,9.19
CNP0226008.1,C[C@H]1[C@H]2[C@H](CC3=CC=CC=C3)N=C(O)[C@]23OC(=O)C=C[C@H](O)CCCCCC=C[C@H]3[C@@H]2O[C@]12C,"(1~{S},6~{R},14~{S},15~{S},17~{R},18~{S},19~{S},20~{S})-20-benzyl-6,22-dihydroxy-17,18-dimethyl-2,16-dioxa-21-azatetracyclo[12.8.0.0^{1,19}.0^{15,17}]docosa-4,12,21-trien-3-one",Organoheterocyclic compounds,Terpenoids,,,Blumea densiflora|Cirsium arvense|Corallina rubens|Cratoxylum formosum|Dalea elegans|Euonymus grandiflorus|Hygrophila erecta|Hymenocallis arenicola|Relicina samoensis|Streptomyces cyaneofuscatus|Wardomyces inflatus,,Blumea densiflora|Cirsium arvense|Corallina rubens|Cratoxylum formosum|Dalea elegans|Euonymus grandiflorus|Hygrophila erecta|Hymenocallis arenicola|Relicina samoensis|Streptomyces cyaneofuscatus|Wardomyces inflatus,Terpenoids,6.54,7.65,5.61,5.98,5.37,5.42,6.04,5.54,5.38,6.98,7.06,7.65,465.5900000000003,4.326800000000004,2,5,2.0,9.18
CNP0079265.1,CC1(C)CCC[C@@]2(CO)[C@H]1CC[C@]1(C)[C@@H]2C[C@@H](O)[C@]2(C)[C@H]3C=CC(=O)C3=CC[C@@H]12,"(5aS,5bR,7aS,11aR,11bS,13R,13aS,13bR)-13-hydroxy-11a-(hydroxymethyl)-5b,8,8,13a-tetramethyl-5,5a,6,7,7a,9,10,11,11b,12,13,13b-dodecahydrocyclopenta[a]chrysen-3-one",Lipids and lipid-like molecules,Terpenoids,Sesterterpenoids,Scalarane sesterterpenoids,Carteriospongia sp.|madagascan sponges,10.1016/j.bmc.2013.03.078|10.1039/c4np00144c,Carteriospongia sp.|madagascan sponges,Terpenoids,6.88,7.58,4.39,5.39,4.77,5.51,6.12,6.72,5.19,6.03,7.06,7.58,398.58700000000016,4.680000000000004,2,3,2.0,9.18
CNP0107111.0,COC1=CC=CC2=C1C(OC)=CC1=C2OC(=O)C(C)=C1,"6,7-dimethoxy-3-methylbenzo[h]chromen-2-one",Organoheterocyclic compounds,Polyketides,Naphthalenes,Naphthalenes and derivatives,Coccomyces proteae|Endophytic fungi,10.1016/j.bmcl.2012.07.075,Coccomyces proteae|Endophytic fungi,Polyketides,6.4,7.54,5.19,6.09,5.52,6.01,5.27,5.29,5.23,6.02,6.68,7.54,270.28399999999993,3.2718200000000017,0,4,2.5,9.18
CNP0545545.0,CSC1=C(CC2=C3N=C4C=CC(O)=CC4=C3C=CN2)[N+](C)=CN1C,"1-[(1,3-dimethyl-5-methylsulfanylimidazol-3-ium-4-yl)methyl]-2H-pyrido[3,4-b]indol-6-ol",Alkaloids and derivatives,Alkaloids,Histidine alkaloids,Imidazole alkaloids,Thorectidae|thorectidae sponge,10.1021/NP050070P|10.1021/np050070p,Thorectidae|thorectidae sponge,Alkaloids,6.14,7.23,5.49,6.03,6.03,5.6,6.83,5.76,5.2,7.11,7.06,7.23,339.4440000000001,2.849000000000001,2,3,2.0,9.18
CNP0426469.1,CC[C@H](C)C1=C(C2=CC=C(O)C=C2)C(=O)OC1=O,,Benzenoids,Shikimates and Phenylpropanoids,Diazotetronic acids and derivatives,Pulvinones,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,10.1021/NP070634K,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,Shikimates and Phenylpropanoids,6.49,7.64,5.37,6.46,5.3,7.04,5.76,5.14,5.14,6.41,7.06,7.64,246.26199999999997,2.2752999999999997,1,4,2.0,9.18
CNP0124852.1,CO[C@@H](CC[C@H](C)[C@H]1O[C@@]23C[C@H](OC(=O)C[C@H](CO)OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H]1C)C1=CC=CC(O)=C1,Oscillatoxin A,Benzenoids,Polyketides,Macrolides,Aplysiatoxins,Alicyclobacillus acidoterrestris|Balanophora harlandii|Gracilaria vermiculophylla|Lyngbya|Lyngbya majuscula|Swertia macrosperma|Unknown-bacterium algae,10.1021/JO00187A035|10.1021/JO00405A053|10.1021/NP990353F|10.1021/jo00187a035|10.1021/jo00405a053,Alicyclobacillus acidoterrestris|Balanophora harlandii|Gracilaria vermiculophylla|Lyngbya|Lyngbya majuscula|Swertia macrosperma|Unknown-bacterium algae,Polyketides,6.71,7.99,5.38,6.49,5.73,6.05,5.7,5.37,5.28,6.48,7.06,7.99,578.6990000000004,3.9982000000000024,3,10,2.0,9.18
CNP0111238.1,C=CC(C)(C)C1=CC=C2C3=C1NC=C3C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C,Pendolmycin,Organic acids and derivatives,Alkaloids,Tryptophan alkaloids,,Marinactinospora thermotolerans|Nocardiopsis|Nocardiopsis sp.|Streptomyces blastmyceticus,10.1021/NP200399T|10.1021/NP50060A022|10.1021/NP50077A040|10.1021/np50060a022|10.1038/ncomms10849,Marinactinospora thermotolerans|Nocardiopsis|Nocardiopsis sp.|Streptomyces blastmyceticus,Alkaloids,6.71,8.0,5.51,6.29,6.45,5.28,5.56,5.66,5.38,5.41,7.05,8.0,369.5090000000001,3.1255000000000015,3,3,2.0,9.17
CNP0541739.0,O=C1N=C(O)C(C2=CC=C(O)C=C2)=C1C1=CC=C(O)C([N+](=O)[O-])=C1,Aqabamycin B,Phenylpropanoids and polyketides,Alkaloids,Terphenyls,p-Terphenyls,Marine Bacteria (Unclassified),,Marine Bacteria (Unclassified),Alkaloids,6.52,7.5,5.24,5.71,5.39,6.12,6.18,6.08,5.19,7.12,7.05,7.5,326.26400000000007,2.4135,3,5,2.0,9.17
CNP0295743.0,CC(C)CC1=C(C2=CC=C(O)C=C2)C(=O)N(O)C1=O,Antrocinnamomin B,Benzenoids,Alkaloids,,,Antrodia cinnamomea|Antrodia cinnamomea (BCRC 36799)|Taiwanofungus camphoratus|antrodia cinnamomea,10.1021/NP070634K|10.1021/np070634k,Antrodia cinnamomea|Antrodia cinnamomea (BCRC 36799)|Taiwanofungus camphoratus|antrodia cinnamomea,Alkaloids,6.53,7.58,5.41,6.16,5.28,7.04,5.76,5.56,5.22,6.43,7.05,7.58,261.277,1.9498999999999995,2,4,2.0,9.17
CNP0511753.1,CC[C@H](O)CCCC1=C(O)[C@@H](C)OC1=O,Hexitronic acid,Lipids and lipid-like molecules,Polyketides,Linear polyketides,Acetogenins,Unknown-fungus fG9RK,10.1080/14786419.2020.1715400,Unknown-fungus fG9RK,Polyketides,6.52,7.84,4.36,6.8,5.14,5.2,5.47,5.22,5.42,6.44,7.05,7.84,214.261,1.685,2,4,2.0,9.17
CNP0240354.1,C=CC(C)(C)C1=C(/C=C2\NC(=O)[C@H](C)NC2=O)C2=CC=CC(C/C=C(/C)CO)=C2N1,Variecolorin M,Organic acids and derivatives,Alkaloids,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Ala)",Unknown-fungus sp.,10.1002/hlca.200900443,Unknown-fungus sp.,Alkaloids,6.69,7.92,5.77,6.55,6.05,5.37,5.66,5.78,5.25,5.39,7.05,7.92,407.5140000000002,3.0880000000000014,4,3,2.0,9.17
CNP0180163.7,O=C(/C=C/C1=CC=C(O)C(O)=C1)OC1CC(C(=O)O)=CC(O)C1O,,,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Dracocephalum moldavicum|Erigeron breviscapus|Phoenix dactylifera,,Dracocephalum moldavicum|Erigeron breviscapus|Phoenix dactylifera,Shikimates and Phenylpropanoids,6.38,6.82,5.36,5.97,5.82,5.51,6.04,5.23,5.14,7.96,7.05,7.96,336.296,0.15929999999999966,5,7,2.0,9.17
CNP0213880.1,C=CC(C)(C)C1=C(/C=C2\NC(=O)[C@H](C)NC2=O)C2=CC=CC(CC3OC3(C)CO)=C2N1,Variecolorin N,Organic acids and derivatives,Alkaloids,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Ala)",Unknown-fungus sp.,10.1002/hlca.200900443,Unknown-fungus sp.,Alkaloids,6.65,7.87,5.74,6.63,5.94,5.44,5.61,5.68,5.13,5.35,7.05,7.87,423.5130000000002,2.2992000000000004,4,4,2.0,9.17
CNP0332033.1,O=C1O[C@@H](CO)CC2=CC=CC(O)=C12,"(3R)-3-hydroxymethyl-8-hydroxyl-3,4-dihydroisocoumarin",Organoheterocyclic compounds,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins,Unknown-fungus sp. NO.49-14-2-1,10.1080/10286020.2015.1043904,Unknown-fungus sp. NO.49-14-2-1,Shikimates and Phenylpropanoids,6.31,8.13,5.36,5.82,5.53,5.24,5.73,5.16,5.24,6.71,7.05,8.13,194.186,0.466,2,4,2.0,9.17
CNP0317323.1,O=C1C[C@@H]2O[C@@H]3C=C[C@H](O)[C@H]1[C@@H]3C21OC2=CC=CC3=CC=CC(=C23)O1,Palmarumycin CE4,Benzenoids,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Anteaglonium|Anteaglonium sp. FL0768|unidentified species of Phylum Ascomycota,10.1016/J.PHYTOL.2018.10.011|10.1016/j.phytol.2018.10.011|10.1039/c6np00124f,Anteaglonium|Anteaglonium sp. FL0768|unidentified species of Phylum Ascomycota,Polyketides,6.4,7.69,6.54,5.99,6.93,5.27,5.69,5.33,5.11,5.74,7.05,7.69,336.3430000000001,2.2106000000000003,1,5,2.0,9.17
CNP0317323.2,O=C1C[C@H]2O[C@H]3C=C[C@H](O)[C@H]1[C@@H]3C21OC2=CC=CC3=CC=CC(=C23)O1,Palmarumycin P2,Benzenoids,Polyketides,Naphthalenes,Spirodioxynaphthalenes,Unknown-fungus sp. BCC 25093,10.1016/j.tet.2015.06.061,Unknown-fungus sp. BCC 25093,Polyketides,6.4,7.69,6.54,5.99,6.93,5.27,5.69,5.33,5.11,5.74,7.05,7.69,336.3430000000001,2.2106000000000003,1,5,2.0,9.17
CNP0424253.1,CC[C@H](C)C1=C(C2=CC=C(O)C=C2)C(=O)N(O)C1=O,,Benzenoids,Alkaloids,,,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,10.1021/NP070634K,Antrodia cinnamomea|Antrodia cinnamomea BCRC 36799|Taiwanofungus camphoratus,Alkaloids,6.52,7.6,5.43,5.89,5.4,7.01,5.74,5.56,5.2,6.42,7.04,7.6,261.277,1.9498999999999995,2,4,2.0,9.15
CNP0281749.0,O=C(CO)C1=CC=C(O)C(O)=C1,29477-54-1,Organic oxygen compounds,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),,Jasminum grandiflorum|Tamarindus indica,10.1016/J.PHYTOCHEM.2007.04.029|10.1021/JF00048A004,Jasminum grandiflorum|Tamarindus indica,Shikimates and Phenylpropanoids,5.91,7.08,5.19,5.74,5.09,5.96,6.24,5.21,5.37,7.8,7.04,7.8,168.148,0.27280000000000004,3,4,2.0,9.15
CNP0292727.1,C=CC(C)(C)C1=CC=C2C3=C1NC=C3C[C@@H](CO)NC(=O)[C@H]([C@@H](C)CC)N2C,Methylpendolmycin,Organic acids and derivatives,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,Marinactinospora thermotolerans|Nocardiopsis|Nocardiopsis sp.,10.1002/CBIC.201100700|10.1021/NP200399T|10.1021/NP50077A040|10.1021/np50077a040,Marinactinospora thermotolerans|Nocardiopsis|Nocardiopsis sp.,Alkaloids,6.68,8.01,5.51,6.25,6.42,5.1,5.57,5.7,5.38,5.44,7.04,8.01,383.5360000000002,3.515600000000002,3,3,2.0,9.15
CNP0256274.2,CC/C=C/C1=C(CC(/C=C(\C(=O)O)C(CCC(=O)O)C(=O)O)CC)C(=O)OC1=O,,,Polyketides,Linear polyketides,Open-chain polyketides,Unknown-fungus sp.,10.1016/j.phytochem.2010.01.015,Unknown-fungus sp.,Polyketides,6.8,7.75,4.34,6.57,5.74,5.15,5.5,5.48,5.03,5.78,7.04,7.75,408.4030000000002,2.325500000000001,3,6,2.0,9.15
CNP0072794.0,COC(=O)C1=CC(C)=CC(O)=C1C(=O)C1=C(O)C=CC(CC=C(C)C)=C1O,Ascomarugosin A,Benzenoids,Polyketides,Aromatic polyketides,Benzophenones,Unknown-fungus sp. SK2YWS-L|unidentified species of Phylum Ascomycota,10.1016/j.tet.2017.12.057|10.1039/c9np00069k,Unknown-fungus sp. SK2YWS-L|unidentified species of Phylum Ascomycota,Polyketides,5.99,7.21,5.36,5.95,5.46,6.1,5.78,5.98,5.18,7.81,7.04,7.81,370.4010000000001,3.638120000000004,3,6,2.0,9.15
CNP0433162.1,OC1=CC=C2C=C(C(O)C3=C[C@H](O)[C@@H](O)[C@@H](O)O3)OC2=C1O,,Organoheterocyclic compounds,Shikimates and Phenylpropanoids,Isoflavonoids,,unidentified fungus,10.1039/c2np00090c,unidentified fungus,Shikimates and Phenylpropanoids,6.27,6.88,5.4,6.5,5.32,5.4,5.78,5.25,5.14,7.74,7.04,7.74,310.2580000000001,-0.16830000000000017,6,8,2.0,9.15
CNP0087069.0,O=C1C=CC2=NC3=CC=CC(O)=C3N(O)C2=C1,"1,8-Phenazinediol-10-oxide",Organoheterocyclic compounds,Alkaloids,Anthranilic acid alkaloids,Phenazine alkaloids,Unknown-fungus sp.,10.1002/jhet.5570060305,Unknown-fungus sp.,Alkaloids,6.47,7.56,5.52,5.86,6.69,5.74,6.12,6.62,5.12,6.86,7.04,7.56,228.20700000000002,1.4442,2,4,2.0,9.15
CNP0303845.1,CC1=CC(O)=CC(O)=C1C(=O)O[C@H]1CC2=C(COC(CCC(=O)O)=C2)C(=O)[C@@]1(C)O,Montagnuphilone B,Organoheterocyclic compounds,Polyketides,Chromanes,Azaphilones,Unknown-fungus sp. DM0194,10.1021/acs.jnatprod.6b00714,Unknown-fungus sp. DM0194,Polyketides,6.47,7.71,4.42,5.63,5.49,5.64,5.88,5.38,4.99,6.91,7.03,7.71,418.3980000000002,1.7309199999999996,4,8,2.0,9.14
CNP0140416.6,CO[C@@H]1[C@H](OC(N)=O)[C@H](O)[C@H](OC2=CC=C3C(O)=C(NC(=O)C4=CC=C(O)C(CC=C(C)C)=C4)C(=O)OC3=C2C)OC1(C)C,,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Actinoalloteichus cyanogriseus|Ray-fungus Streppyomyes spheroids|Streptomyces niveus|Streptomyces spheroides,10.7164/ANTIBIOTICS.51.676|10.7164/antibiotics.51.676,Actinoalloteichus cyanogriseus|Ray-fungus Streppyomyes spheroids|Streptomyces niveus|Streptomyces spheroides,Shikimates and Phenylpropanoids,6.42,7.43,5.44,6.23,5.59,5.66,5.79,6.1,5.34,7.24,7.03,7.43,612.6320000000002,3.6271200000000023,5,11,2.0,9.14
CNP0140416.3,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=CC=C3C(O)=C(NC(=O)C4=CC=C(O)C(CC=C(C)C)=C4)C(=O)OC3=C2C)OC1(C)C,novobiocin,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Actinoalloteichus cyanogriseus|Asparagopsis taxiformis|Escherichia coli|Marine Bacteria (Unclassified)|Nocardiopsis gilva|Nocardiopsis gilva YIM 90087|Streptomyces|Streptomyces IFM 10937|Streptomyces L-4-4|Streptomyces RJA2961|Streptomyces albidoflavus|Streptomyces caeruleus|Streptomyces coelicolor|Streptomyces coelicolor M512|Streptomyces coelicolor M512 nov-BG1|Streptomyces niveus|Streptomyces niveus NRRL 2466|Streptomyces sp. L-4-4|Streptomyces spheroides|Streptomyces spheroides NCIB 11891|Streptomyces spheroides NCIMB 11891|streptomyces sp. ifm 10937,10.1002/bit.260181005|10.1002/j.1460-2075.1988.tb03065.x|10.1007/S00253-016-7306-1|10.1007/s00203-010-0548-x|10.1007/s00253-009-2435-4|10.1007/s00253-016-7306-1|10.1007/s10969-012-9138-2|10.1007/s12088-008-0052-z|10.1016/0378-1119(89)90337-5|10.1016/0378-1119(95)00308-s|10.1016/J.CHEMBIOL.2004.09.009|10.1016/S0006-291X(03)01231-2|10.1016/S0040-4039(98)00386-4|10.1016/S0076-6879(09)04618-7|10.1016/j.chembiol.2004.02.028|10.1016/j.chembiol.2004.09.009|10.1016/j.jbiosc.2009.08.479|10.1016/j.jmb.2009.10.045|10.1016/s0006-291x(03)01231-2|10.1016/s1074-5521(01)00009-6|10.1016/s1074-5521(03)00051-6|10.1021/JF400718W|10.1021/NP8004248|10.1021/acs.jnatprod.6b00235|10.1021/acschembio.6b01053|10.1021/ja01629a129|10.1021/jf400718w|10.1021/np200029q|10.1021/np401094h|10.1021/np8004248|10.1021/np900843b|10.1038/MSB.2011.65|10.1038/ja.2009.48|10.1038/ja.2010.74|10.1038/msb.2011.65|10.1074/JBC.M003066200|10.1074/jbc.M003066200|10.1099/00221287-148-10-3317|10.1099/mic.0.032649-0|10.1099/mic.0.27669-0|10.1111/J.1365-2672.1991.TB03811.X|10.1111/J.1574-6968.1994.TB06691.X|10.1111/j.1365-2672.1991.tb03811.x|10.1111/j.1365-2958.1993.tb01593.x|10.1111/j.1574-6968.1994.tb06691.x|10.1128/AAC.1.2.123|10.1128/AAC.44.5.1214-1222.2000|10.1128/AAC.47.3.869-877.2003|10.1128/AM.9.4.342-345.1961|10.1128/am.9.4.342-345.1961|10.1155/2013/968518|10.1371/journal.pone.0077078|10.7164/ANTIBIOTICS.51.676|10.7164/antibiotics.51.676,Actinoalloteichus cyanogriseus|Asparagopsis taxiformis|Escherichia coli|Marine Bacteria (Unclassified)|Nocardiopsis gilva|Nocardiopsis gilva YIM 90087|Streptomyces|Streptomyces IFM 10937|Streptomyces L-4-4|Streptomyces RJA2961|Streptomyces albidoflavus|Streptomyces caeruleus|Streptomyces coelicolor|Streptomyces coelicolor M512|Streptomyces coelicolor M512 nov-BG1|Streptomyces niveus|Streptomyces niveus NRRL 2466|Streptomyces sp. L-4-4|Streptomyces spheroides|Streptomyces spheroides NCIB 11891|Streptomyces spheroides NCIMB 11891|streptomyces sp. ifm 10937,Shikimates and Phenylpropanoids,6.42,7.43,5.44,6.23,5.59,5.66,5.79,6.1,5.34,7.24,7.03,7.43,612.6320000000002,3.6271200000000023,5,11,2.0,9.14
CNP0247444.1,COC1=CC(O)=CC2=C1C(=O)C=C(C1=CC=C(O)C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=C1)O2,,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Avicennia marina,10.1016/S0367-326X(99)00169-0,Avicennia marina,Shikimates and Phenylpropanoids,6.43,7.65,4.75,6.03,5.32,6.35,6.07,5.55,5.11,7.02,7.03,7.65,462.40700000000015,0.058499999999999774,6,11,2.0,9.14
CNP0106225.1,CC(=O)OCC1=CC=C[C@@]2(C)C[C@]3(C[C@@H]12)C(=O)O[C@H]1O[C@]13C,,Organoheterocyclic compounds,Terpenoids,Sesquiterpenoids,Eudesmane sesquiterpenoids,Organ pipe coral|Tubipora musica,10.1039/np9880500613|10.1248/CPB.35.3531,Organ pipe coral|Tubipora musica,Terpenoids,6.49,8.1,4.47,5.59,6.5,5.41,5.55,5.21,5.22,5.9,7.03,8.1,304.342,2.1201999999999996,0,5,2.0,9.14
CNP0134525.0,O=C1C2=CC=CC=C2C(=O)C2=C1C=C(O)C(CC1=CC=CC=C1)=C2O,2-Benzylxanthopurpurin,Benzenoids,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,Cercosporina kikuchii|Chara corallina|Croton steenkampianus|Damnacanthus indicus|Damnacanthus major|Daphne aurantiaca|Eriostemon brucei|Euphorbia ingens|Garcinia cantleyana|Hymenodictyon excelsum|Hymenodictyon orixense|Lonicera korolkovii|Melanothamnus somalensis|Monilinia fructigena|Parmelia gigas|Perna viridis|Portulaca pilosa|Pseudomonas putida|Pteris aquilina|Siphonaria funiculata|Solanum curtipes|Stachys recta|Talaromyces helicus|Zerynthia polyxena,10.1039/J39710002001,Cercosporina kikuchii|Chara corallina|Croton steenkampianus|Damnacanthus indicus|Damnacanthus major|Daphne aurantiaca|Eriostemon brucei|Euphorbia ingens|Garcinia cantleyana|Hymenodictyon excelsum|Hymenodictyon orixense|Lonicera korolkovii|Melanothamnus somalensis|Monilinia fructigena|Parmelia gigas|Perna viridis|Portulaca pilosa|Pseudomonas putida|Pteris aquilina|Siphonaria funiculata|Solanum curtipes|Stachys recta|Talaromyces helicus|Zerynthia polyxena,Polyketides,6.5,7.81,5.61,6.47,5.42,5.94,5.75,5.61,5.26,6.77,7.03,7.81,330.339,3.4640000000000017,2,4,2.0,9.14
CNP0249383.16,CC(C)[C@@H](C)/C=C/[C@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@]23C=C[C@]2(C[C@@H](O)CC[C@]12C)OO3,,Lipids and lipid-like molecules,Terpenoids,Steroids,Cholestane steroids,Alcyonium grandis|Alternanthera philoxeroides|Colubrina asiatica|Cyperus rotundus|Dipterocarpus pilosus|Echinus miliaris|Hilliardiella oligocephala|Lycoris x chejuensis|Manduca sexta|Moquiniastrum paniculatum|Mosla scabra|Orthosiphon wulfenioides|Podocarpus lawrencei|Strobilanthes dimorphotricha|Strobilanthes pentstemonoides|Strobilanthes psilostachys|Taiwanofungus camphoratus,10.1021/NP1002143|10.1055/S-2005-873125|10.3390/MOLECULES13102474,Alcyonium grandis|Alternanthera philoxeroides|Colubrina asiatica|Cyperus rotundus|Dipterocarpus pilosus|Echinus miliaris|Hilliardiella oligocephala|Lycoris x chejuensis|Manduca sexta|Moquiniastrum paniculatum|Mosla scabra|Orthosiphon wulfenioides|Podocarpus lawrencei|Strobilanthes dimorphotricha|Strobilanthes pentstemonoides|Strobilanthes psilostachys|Taiwanofungus camphoratus,Terpenoids,6.25,7.04,4.43,7.77,5.01,5.39,6.01,5.09,5.24,5.71,7.02,7.77,428.6570000000002,6.473600000000007,1,3,2.0,9.13
CNP0249383.14,CC(C)[C@@H](C)C=C[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@@]23C=C[C@@]2(C[C@@H](O)CC[C@]12C)OO3,,Lipids and lipid-like molecules,Terpenoids,Steroids,Cholestane steroids,Alcyonium grandis|Colubrina asiatica|Dipterocarpus pilosus|Echinus miliaris|Hilliardiella oligocephala|Lycoris x chejuensis|Manduca sexta|Moquiniastrum paniculatum|Mosla scabra|Orthosiphon wulfenioides|Podocarpus lawrencei|Taiwanofungus camphoratus,,Alcyonium grandis|Colubrina asiatica|Dipterocarpus pilosus|Echinus miliaris|Hilliardiella oligocephala|Lycoris x chejuensis|Manduca sexta|Moquiniastrum paniculatum|Mosla scabra|Orthosiphon wulfenioides|Podocarpus lawrencei|Taiwanofungus camphoratus,Terpenoids,6.25,7.04,4.43,7.77,5.01,5.39,6.01,5.09,5.24,5.71,7.02,7.77,428.6570000000002,6.473600000000007,1,3,2.0,9.13
CNP0234614.6,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(C)OC3=CC=C(O)C=C3C[C@H]21,,Organoheterocyclic compounds,Terpenoids,Meroterpenoids,Tetraketide meroterpenoids,Hymeniacidon perleve|Smenospongia aurea|crumb-of-bread sponge,10.1021/JO01296A019,Hymeniacidon perleve|Smenospongia aurea|crumb-of-bread sponge,Terpenoids,6.34,7.0,5.53,7.47,5.28,5.3,6.15,5.27,4.95,6.58,7.02,7.47,314.46900000000005,5.3284000000000065,1,2,2.0,9.13
