record_id,分子,来源药材,PubMed疾病检索命中数,PubMed机制检索命中数,疾病模型证据,疾病证据层级,直接靶点与功能证据,靶点证据层级,暴露与可开发性,计算支持,研究增量,保留或降级理由,证据状态,主要缺口
NP54-044,nirtetralin,nirtetralin,0,0,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中0条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-045,niranthin,niranthin,0,1,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中1条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-046,1-deoxynojirimycin,1-deoxynojirimycin,19,3,CDAHFD-MASH小鼠和HFD-NASH小鼠；摘要报告肝损伤、脂变、炎症和纤维化改善,摘要级（A-tier升级，全文待核）,PI3K/AKT/mTOR-自噬；肠道菌群重塑；直接靶点仍未确认,摘要级/条件有限,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,A-tier竞争者：优先全文核查,摘要级升级，非全文确认,摘要级本体证据；公开摘要对组织学和剂量需全文核查；来源/部位/纯度/PK未人工闭环
NP54-047,oxyresveratrol,oxyresveratrol,3,6,本轮精确PubMed检索命中3条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中6条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-048,astragalin,astragalin,6,12,本轮精确PubMed检索命中6条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中12条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-049,moracin N,moracin_N,0,3,本轮未找到moracin N与MASH/NASH/NAFLD/MASLD的直接疾病模型；家族/相近物不迁移,摘要/条件有限,HT22 erastin模型中抗铁死亡，GPX4/ROS/铁/脂质过氧化和Keap1/Nrf2线索（PMID 34281775）；小鼠脑缺血为脑室内给药、神经铁死亡（PMID 40972263）；不外推肝保护/口服暴露；无直接TRβ/FXR实验证据,摘要/条件有限,脑室内20 mg/kg/day不等于口服生物利用度；本体PK/肝暴露未知,"TRβ WT 3GWS派生受体，4种子中位=-10.875，范围=[-10.881,-10.853]；仅描述性重复性，不是活性预测",见候选比较文档；未知不等于阴性,探索性保留：只检验肝细胞铁死亡假说，不由对接升格,已核查分层,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-050,moracin M,moracin_M,0,2,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中2条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-051,mulberrofuran G,mulberrofuran_G,0,1,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中1条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-052,piceid,piceid,2,5,本轮精确PubMed检索命中2条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中5条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-053,catechin,catechin,110,510,本轮精确PubMed检索命中110条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中510条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
NP54-054,torachrysone,torachrysone,0,1,本轮精确PubMed检索命中0条；仅为检索命中，未逐篇完成终点/模型核查，记为未知。,未知/未逐篇核查,机制词检索命中1条；未逐篇完成直接靶点/功能分层，记为未知。,未知/未逐篇核查,未知：本轮未找到可直接回填的本体PK/肝暴露/溶解度/纯度记录,本轮未纳入正式4种子H1Valid；历史/全库摘要不得当作验证通过,先完成身份/全文筛选，再决定是否进入候选压缩,暂不列短名单：证据矩阵未知，未满足保留门槛,未知（检索命中未等于阳性）,来源/部位/纯度/PK未人工闭环；疾病模型/机制/暴露仍需按方案核验
